_id,organizationId,employeeId,dateKey,date,shiftId,branchId,checkInAt,checkOutAt,checkInSource,checkOutSource,workedMinutes,isLate,lateByMinutes,status,notes,manuallyEditedBy,manuallyEditedByName,manuallyEditedAt,isDeleted,deletedAt,id,createdAt,updatedAt,lifelineApplied,unverifiedMinutes,dayClosed,reopenReason,reopenedByName,suggestedCheckOutAt,reopenedBy,reopenedAt
6a44a1153e24124ff06a4cbc,6a449eaf3e24124ff06a4a45,6a44a09b3e24124ff06a4bea,2026-07-01,2026-07-01T00:00:00Z,,,2026-07-01T03:30:00Z,2026-07-01T12:30:00Z,manual,manual,540,false,0,present,Marked on time manually for recorded shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:11:05.289Z,false,,6a44a1153e24124ff06a4cbc,2026-07-01T05:09:41.993Z,2026-08-08T11:11:05.291Z,[],0,,,,,,
6a44a29a3e24124ff06a4d52,6a449eaf3e24124ff06a4a45,6a44a1d53e24124ff06a4cf5,2026-07-01,2026-07-01T00:00:00Z,,,2026-07-01T03:30:00Z,2026-07-01T12:30:00Z,manual,manual,540,false,0,present,Marked on time manually for recorded shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:10:59.935Z,false,,6a44a29a3e24124ff06a4d52,2026-07-01T05:16:10.060Z,2026-08-08T11:10:59.937Z,[],0,,,,,,
6a44ba303e0b932ccd4d76d9,6a449eaf3e24124ff06a4a45,6a44acd53e24124ff06a5763,2026-07-01,2026-07-01T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-01T04:01:00Z,2026-07-01T12:31:00Z,manual,manual,510,false,0,present,Marked on time manually for Day Shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:10:53.061Z,false,,6a44ba303e0b932ccd4d76d9,2026-07-01T06:56:48.185Z,2026-08-08T11:10:53.062Z,[],0,,,,,,
6a44bafb3e0b932ccd4d78e4,6a449eaf3e24124ff06a4a45,6a44ab783e24124ff06a557f,2026-07-01,2026-07-01T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-01T04:00:00Z,2026-07-01T12:30:00Z,manual,manual,510,false,0,present,Marked on time manually for Day Shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:10:49.964Z,false,,6a44bafb3e0b932ccd4d78e4,2026-07-01T07:00:11.114Z,2026-08-08T11:10:49.966Z,[],0,,,,,,
6a44bafc3e0b932ccd4d7900,6a449eaf3e24124ff06a4a45,6a44abdc3e24124ff06a5641,2026-07-01,2026-07-01T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-01T04:00:00Z,2026-07-01T12:30:00Z,manual,manual,510,false,0,present,Marked on time manually for Day Shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-10T06:09:59.492Z,false,,6a44bafc3e0b932ccd4d7900,2026-07-01T07:00:12.031Z,2026-08-10T06:09:59.493Z,[],0,false,,,,,
6a45e4bd3e0b932ccd4d91af,6a449eaf3e24124ff06a4a45,6a44ab783e24124ff06a557f,2026-07-02,2026-07-02T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-02T04:10:00Z,2026-07-02T12:40:00Z,manual,manual,510,false,0,half_day,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:11:33.209Z,false,,6a45e4bd3e0b932ccd4d91af,2026-07-02T04:10:37.278Z,2026-08-08T11:11:33.210Z,[],0,,,,,,
6a45e96c3e0b932ccd4d9310,6a449eaf3e24124ff06a4a45,6a44a1d53e24124ff06a4cf5,2026-07-02,2026-07-02T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-02T04:30:00Z,2026-07-02T12:36:00Z,manual,manual,486,false,0,half_day,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:12:01.420Z,false,,6a45e96c3e0b932ccd4d9310,2026-07-02T04:30:36.864Z,2026-08-08T11:12:01.425Z,[],0,,,,,,
6a45ee153e0b932ccd4d9731,6a449eaf3e24124ff06a4a45,6a44acd53e24124ff06a5763,2026-07-02,2026-07-02T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-02T04:50:00Z,2026-07-02T12:41:00Z,manual,manual,471,false,0,half_day,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:11:53.352Z,false,,6a45ee153e0b932ccd4d9731,2026-07-02T04:50:29.985Z,2026-08-08T11:11:53.353Z,[],0,,,,,,
6a45f31d3e0b932ccd4d9d11,6a449eaf3e24124ff06a4a45,6a44a09b3e24124ff06a4bea,2026-07-02,2026-07-02T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-02T04:00:00Z,2026-07-02T12:30:00Z,manual,manual,510,false,0,present,Marked on time manually for Day Shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-19T12:04:56.048Z,false,,6a45f31d3e0b932ccd4d9d11,2026-07-02T05:11:57.827Z,2026-08-19T12:04:56.050Z,[],0,false,,,,,
6a46050c3e0b932ccd4db043,6a449eaf3e24124ff06a4a45,6a44abdc3e24124ff06a5641,2026-07-02,2026-07-02T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-02T04:00:00Z,2026-07-02T12:30:00Z,manual,manual,510,false,0,present,Marked on time manually for Day Shift.,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-01T07:37:50.676Z,false,,6a46050c3e0b932ccd4db043,2026-07-02T06:28:28.779Z,2026-08-01T07:37:50.680Z,[],0,,,,,,
6a47321a3e0b932ccd4dc474,6a449eaf3e24124ff06a4a45,6a44ab783e24124ff06a557f,2026-07-03,2026-07-03T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-03T03:52:00Z,2026-07-03T12:37:00Z,manual,manual,525,false,0,present,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:12:35.918Z,false,,6a47321a3e0b932ccd4dc474,2026-07-03T03:52:58.967Z,2026-08-08T11:12:35.920Z,[],0,,,,,,
6a473a5e3e0b932ccd4dc5f1,6a449eaf3e24124ff06a4a45,6a44abdc3e24124ff06a5641,2026-07-03,2026-07-03T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-03T04:28:00Z,2026-07-03T12:44:00Z,manual,manual,496,false,0,half_day,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:12:28.491Z,false,,6a473a5e3e0b932ccd4dc5f1,2026-07-03T04:28:14.391Z,2026-08-08T11:12:28.492Z,[],0,,,,,,
6a473a8a3e0b932ccd4dc659,6a449eaf3e24124ff06a4a45,6a44a1d53e24124ff06a4cf5,2026-07-03,2026-07-03T00:00:00Z,6a44a98f3e24124ff06a53e4,6a44a9ef3e24124ff06a5439,2026-07-03T04:28:00Z,2026-07-03T12:52:00Z,manual,manual,504,false,0,half_day,,6a449eaf3e24124ff06a4a45,Signet AI,2026-08-08T11:12:57.479Z,false,,6a473a8a3e0b932ccd4dc659,2026-07-03T04:28:58.223Z,2026-08-08T11:12:57.481Z,[],0,,,,,,
